id,title,medium,year,primary,topology,worlds,agents,events,edges,interventions,desc_avg,timelabelled,semantic_review,warn_total
11-22-63,11/22/63,tv,2016,branch_on_intervention,branching_tree,4,6,22,29,2,152.0,22,1,5
about-time,About Time,film,2013,mutable_ripple,mutable_single_with_ripples,1,8,22,31,3,142.1,22,2,6
arq,ARQ,film,2016,temporal_loop_exit,single_fixed_timeline,2,6,22,25,2,122.3,22,1,3
arrival,Arrival,film,2016,perception_nonlinear,single_fixed_timeline,1,5,22,25,1,127.0,22,2,5
avengers-endgame,Avengers: Endgame,film,2019,branch_on_intervention,branching_tree,5,8,23,28,2,155.1,23,0,5
back-to-the-future,Back to the Future,film,1985,mutable_ripple,mutable_single_with_ripples,4,6,23,30,2,97.0,23,2,6
before-the-coffee-gets-cold,Before the Coffee Gets Cold,novel,2015,fixed_novikov,single_fixed_timeline,1,5,21,22,1,96.9,21,0,1
bill-and-ted,Bill & Ted's Excellent Adventure,film,1989,predestination_closed_loop,single_fixed_timeline,1,11,22,30,2,103.4,22,0,5
boss-level,Boss Level,film,2020,temporal_loop_exit,single_fixed_timeline,1,5,22,24,1,102.4,22,0,2
coherence,Coherence,film,2013,multiverse_contact,dual_parallel_pair,3,6,20,36,2,146.6,20,2,12
continuum,Continuum,tv,2012,branch_on_intervention,branching_tree,4,4,21,26,1,115.4,21,0,4
counterpart,Counterpart,tv,2017,multiverse_contact,dual_parallel_pair,2,11,22,28,1,128.4,22,1,5
dark,Dark,tv,2017,bootstrap_ontological,origin_plus_twins,3,11,24,34,2,128.5,24,2,2
deja-vu,Déjà Vu,film,2006,branch_on_intervention,branching_tree,3,4,21,25,1,109.9,21,0,3
donnie-darko,Donnie Darko,film,2001,tangent_universe,tangent_bubble,2,5,21,26,1,120.4,21,2,4
edge-of-tomorrow,Edge of Tomorrow,film,2014,temporal_loop_exit,single_fixed_timeline,1,4,20,35,1,162.6,20,1,13
eeaao,Everything Everywhere All at Once,film,2022,multiverse_contact,parallel_world_network,6,7,26,32,1,147.4,26,1,3
erased,Erased (Boku dake ga Inai Machi),tv,2016,death_checkpoint_rewrite,mutable_single_with_ripples,5,4,21,26,1,120.6,21,1,4
frequency,Frequency,film,2000,mutable_ripple,mutable_single_with_ripples,3,4,20,36,1,115.2,20,2,13
fringe,Fringe,tv,2008,multiverse_contact,dual_parallel_pair,4,9,22,28,2,152.7,22,1,7
groundhog-day,Groundhog Day,film,1993,temporal_loop_exit,single_fixed_timeline,1,4,21,23,1,143.9,21,1,4
happy-death-day,Happy Death Day,film,2017,temporal_loop_exit,single_fixed_timeline,1,6,22,28,2,113.0,22,1,2
harry-potter-prisoner-of-azkaban,Harry Potter and the Prisoner of Azkaban,film,2004,fixed_novikov,single_fixed_timeline,1,7,22,26,1,158.7,22,0,3
hot-tub-time-machine,Hot Tub Time Machine,film,2010,mutable_ripple,mutable_single_with_ripples,3,4,20,23,1,116.5,20,1,2
interstellar,Interstellar,film,2014,fixed_novikov,single_fixed_timeline,1,8,21,23,1,158.3,21,1,8
la-jetee,La Jetée,film,1962,predestination_closed_loop,single_fixed_timeline,3,3,20,24,1,104.8,20,2,2
loki,Loki (Season 1),tv,2021,branch_bureaucracy_prune,branching_tree,5,6,22,29,2,154.2,22,2,5
looper,Looper,film,2012,mutable_ripple,mutable_single_with_ripples,3,6,20,25,1,117.5,20,2,5
mr-nobody,Mr. Nobody,film,2009,branch_on_intervention,branching_tree,6,7,20,34,1,111.5,20,2,17
night-watch-discworld,Night Watch (Discworld),novel,2002,predestination_closed_loop,single_fixed_timeline,2,3,20,24,1,122.3,20,1,3
outlander,Outlander,tv,2014,fixed_novikov,single_fixed_timeline,2,6,22,28,1,126.5,22,2,4
palm-springs,Palm Springs,film,2020,temporal_loop_exit,single_fixed_timeline,1,4,23,25,1,138.9,23,2,5
predestination,Predestination,film,2014,predestination_closed_loop,single_fixed_timeline,1,5,23,30,2,159.0,23,1,8
primer,Primer,film,2004,branch_on_intervention,branching_tree,6,7,23,30,2,131.0,23,2,7
project-almanac,Project Almanac,film,2015,mutable_ripple,mutable_single_with_ripples,4,5,21,26,1,145.4,21,1,3
quantum-leap,Quantum Leap,tv,1989,mutable_ripple,mutable_single_with_ripples,3,2,21,24,1,144.4,21,1,3
re-zero,Re:Zero − Starting Life in Another World,tv,2016,death_checkpoint_rewrite,mutable_single_with_ripples,2,8,22,28,1,126.1,22,3,3
replay,Replay,novel,1986,temporal_loop_exit,single_fixed_timeline,3,2,21,25,1,145.7,21,1,5
run-lola-run,Run Lola Run,film,1998,branch_on_intervention,branching_tree,4,6,22,29,2,123.2,22,1,6
russian-doll,Russian Doll,tv,2019,temporal_loop_exit,single_fixed_timeline,2,5,20,35,2,178.8,20,2,14
sliding-doors,Sliding Doors,film,1998,branch_on_intervention,branching_tree,3,7,22,29,1,105.5,22,1,6
source-code,Source Code,film,2011,temporal_loop_exit,branching_tree,3,4,20,35,1,161.3,20,2,14
spider-man-into-the-spider-verse,Spider-Man: Into the Spider-Verse,film,2018,multiverse_contact,dual_parallel_pair,3,7,20,23,1,157.6,20,1,2
steins-gate,Steins;Gate,tv,2011,worldline_attractor,worldline_bundle,4,7,23,31,2,127.3,23,1,5
tenet,Tenet,film,2020,entropy_inversion,inverted_single_timeline,1,13,32,44,4,156.9,32,1,13
terminator-2,Terminator 2: Judgment Day,film,1991,mutable_ripple,mutable_single_with_ripples,3,5,22,25,1,113.6,22,1,4
terminator,The Terminator,film,1984,bootstrap_ontological,single_fixed_timeline,1,5,22,24,1,148.2,22,1,7
the-butterfly-effect,The Butterfly Effect,film,2004,mutable_ripple,mutable_single_with_ripples,4,4,20,35,2,105.2,20,2,13
the-end-of-eternity,The End of Eternity,novel,1955,branch_bureaucracy_prune,branching_tree,4,4,21,26,1,168.4,21,1,3
the-endless,The Endless,film,2017,tangent_universe,tangent_bubble,5,5,22,27,1,108.2,22,0,5
the-man-who-folded-himself,The Man Who Folded Himself,novel,1973,bootstrap_ontological,branching_tree,3,4,21,27,1,145.6,21,0,5
the-time-machine-1960,The Time Machine (1960),film,1960,fixed_novikov,single_fixed_timeline,1,7,22,27,1,161.2,22,1,2
the-waif,The Waif,film,,worldline_attractor,worldline_bundle,8,11,28,33,4,125.2,28,12,0
timecrimes,Timecrimes (Los Cronocrímenes),film,2007,predestination_closed_loop,single_fixed_timeline,1,6,20,36,1,121.2,20,1,15
travelers,Travelers,tv,2016,mutable_ripple,mutable_single_with_ripples,2,6,21,23,1,162.3,21,1,2
triangle,Triangle,film,2009,predestination_closed_loop,single_fixed_timeline,1,4,20,24,1,124.2,20,0,4
twelve-monkeys,12 Monkeys,film,1995,predestination_closed_loop,single_fixed_timeline,1,5,23,38,1,112.9,23,1,18
umbrella-academy,The Umbrella Academy,tv,2019,branch_bureaucracy_prune,branching_tree,6,3,22,28,1,158.9,22,0,7
x-men-days-of-future-past,X-Men: Days of Future Past,film,2014,mutable_ripple,mutable_single_with_ripples,3,6,20,24,1,127.0,20,1,2
your-name,Your Name,film,2016,mutable_ripple,mutable_single_with_ripples,3,5,23,24,1,121.7,23,3,7
